,census_code,label
0,for,Census API FIPS 'for' clause
1,in,Census API FIPS 'in' clause
2,ucgid,Uniform Census Geography Identifier clause
3,B24022_060E,Estimate!!Total:!!Female:!!Service occupations:!!Food preparation and serving related occupations
4,B19001B_014E,"Estimate!!Total:!!$100,000 to $124,999"
5,B07007PR_019E,Estimate!!Total:!!Moved from different municipio:!!Foreign born:!!Naturalized U.S. citizen
6,B19101A_004E,"Estimate!!Total:!!$15,000 to $19,999"
7,B24022_061E,Estimate!!Total:!!Female:!!Service occupations:!!Building and grounds cleaning and maintenance occupations
8,B19001B_013E,"Estimate!!Total:!!$75,000 to $99,999"
9,B07007PR_018E,Estimate!!Total:!!Moved from different municipio:!!Foreign born:
10,B19101A_005E,"Estimate!!Total:!!$20,000 to $24,999"
11,B24022_062E,Estimate!!Total:!!Female:!!Service occupations:!!Personal care and service occupations
12,B19001B_012E,"Estimate!!Total:!!$60,000 to $74,999"
13,B01001B_029E,Estimate!!Total:!!Female:!!65 to 74 years
14,B19101A_006E,"Estimate!!Total:!!$25,000 to $29,999"
15,B20005A_021E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$50,000 to $54,999"
16,B07007PR_017E,Estimate!!Total:!!Moved from different municipio:!!Native
17,B24022_063E,Estimate!!Total:!!Female:!!Sales and office occupations:
18,B07007PR_015E,Estimate!!Total:!!Moved within same municipio:!!Foreign born:!!Not a U.S. citizen
19,B19001B_011E,"Estimate!!Total:!!$50,000 to $59,999"
20,B19101A_007E,"Estimate!!Total:!!$30,000 to $34,999"
21,B20005A_020E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$45,000 to $49,999"
22,B07007PR_016E,Estimate!!Total:!!Moved from different municipio:
23,B24022_064E,Estimate!!Total:!!Female:!!Sales and office occupations:!!Sales and related occupations
24,B19001B_010E,"Estimate!!Total:!!$45,000 to $49,999"
25,B26209_011E,Estimate!!Total:!!Group quarters population:!!Different address in the United States:
26,B01001B_027E,Estimate!!Total:!!Female:!!45 to 54 years
27,B20005A_023E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$65,000 to $74,999"
28,B26209_010E,Estimate!!Total:!!Group quarters population:!!Same address
29,B24022_065E,Estimate!!Total:!!Female:!!Sales and office occupations:!!Office and administrative support occupations
30,B01001B_028E,Estimate!!Total:!!Female:!!55 to 64 years
31,B19101A_001E,Estimate!!Total:
32,B20005A_022E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$55,000 to $64,999"
33,B24022_066E,"Estimate!!Total:!!Female:!!Natural resources, construction, and maintenance occupations:"
34,B01001B_025E,Estimate!!Total:!!Female:!!30 to 34 years
35,B20005A_025E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$100,000 or more"
36,B19101A_002E,"Estimate!!Total:!!Less than $10,000"
37,B19037E_030E,"Estimate!!Total:!!Householder 25 to 44 years:!!$60,000 to $74,999"
38,B24022_067E,"Estimate!!Total:!!Female:!!Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations"
39,B01001B_026E,Estimate!!Total:!!Female:!!35 to 44 years
40,B19101A_003E,"Estimate!!Total:!!$10,000 to $14,999"
41,B20005A_024E,"Estimate!!Total:!!Male:!!Worked full-time, year-round in the past 12 months:!!With earnings:!!$75,000 to $99,999"
42,B07007PR_010E,Estimate!!Total:!!Same house 1 year ago:!!Foreign born:!!Not a U.S. citizen
43,B07004H_002E,Estimate!!Total:!!Same house 1 year ago
44,B01001B_022E,Estimate!!Total:!!Female:!!18 and 19 years
45,B20005_028E,Estimate!!Total:!!Male:!!Other:!!With earnings:
46,B01001B_023E,Estimate!!Total:!!Female:!!20 to 24 years
47,B07004H_001E,Estimate!!Total:
48,B20005_029E,"Estimate!!Total:!!Male:!!Other:!!With earnings:!!$1 to $2,499 or loss"
49,B01001B_024E,Estimate!!Total:!!Female:!!25 to 29 years
50,B01001B_020E,Estimate!!Total:!!Female:!!10 to 14 years
51,B20005_026E,Estimate!!Total:!!Male:!!Other:
52,B06004E_001E,Estimate!!Total:
53,B01001B_021E,Estimate!!Total:!!Female:!!15 to 17 years
54,B20005_027E,Estimate!!Total:!!Male:!!Other:!!No earnings
55,B06004E_002E,Estimate!!Total:!!Born in state of residence
56,B07004H_006E,Estimate!!Total:!!Moved from abroad
57,B07007PR_014E,Estimate!!Total:!!Moved within same municipio:!!Foreign born:!!Naturalized U.S. citizen
58,B08119_021E,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$10,000 to $14,999"
59,B06004E_003E,Estimate!!Total:!!Born in other state in the United States
60,B07004H_005E,Estimate!!Total:!!Moved from different state
61,B07007PR_013E,Estimate!!Total:!!Moved within same municipio:!!Foreign born:
62,B19001B_017E,"Estimate!!Total:!!$200,000 or more"
