cbsa_name,cbsa_states
"Springfield, MA",MA
"Worcester, MA-CT","MA,CT"
"Pittsfield, MA",MA
"Boston-Cambridge-Newton, MA-NH","MA,NH"
"Providence-Warwick, RI-MA","MA,RI"
"Barnstable Town, MA",MA
"Vineyard Haven, MA",MA
"Manchester-Nashua, NH",NH
"Concord, NH",NH
"Lebanon, NH-VT","NH,VT"
"Laconia, NH",NH
"Keene, NH",NH
"Berlin, NH-VT",NH
"Portland-South Portland, ME",ME
"Lewiston-Auburn, ME",ME
"Augusta-Waterville, ME",ME
"Bangor, ME",ME
"Bennington, VT",VT
"Burlington-South Burlington, VT",VT
"Barre, VT",VT
"Rutland, VT",VT
"Hartford-West Hartford-East Hartford, CT",CT
"Torrington, CT",CT
"Norwich-New London, CT",CT
"New York-Newark-Jersey City, NY-NJ-PA","CT,NJ,NY,PA"
"New Haven-Milford, CT",CT
"Bridgeport-Stamford-Norwalk, CT",CT
"Allentown-Bethlehem-Easton, PA-NJ","NJ,PA"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","NJ,PA,DE,MD"
"Atlantic City-Hammonton, NJ",NJ
"Ocean City, NJ",NJ
"Vineland-Bridgeton, NJ",NJ
"Trenton, NJ",NJ
"Poughkeepsie-Newburgh-Middletown, NY",NY
"Albany-Schenectady-Troy, NY",NY
"Amsterdam, NY",NY
"Hudson, NY",NY
"Gloversville, NY",NY
"Glens Falls, NY",NY
"Oneonta, NY",NY
"Kingston, NY",NY
"Plattsburgh, NY",NY
"Malone, NY",NY
"Ogdensburg-Massena, NY",NY
"Auburn, NY",NY
"Syracuse, NY",NY
"Cortland, NY",NY
"Utica-Rome, NY",NY
"Ithaca, NY",NY
"Rochester, NY",NY
"Seneca Falls, NY",NY
"Watertown-Fort Drum, NY",NY
"Binghamton, NY",NY
"Buffalo-Cheektowaga-Niagara Falls, NY",NY
"Batavia, NY",NY
"Olean, NY",NY
"Jamestown-Dunkirk-Fredonia, NY",NY
"Corning, NY",NY
"Elmira, NY",NY
"Pittsburgh, PA",PA
"Somerset, PA",PA
"Indiana, PA",PA
"Johnstown, PA",PA
"DuBois, PA",PA
"St. Marys, PA",PA
"New Castle, PA",PA
"Meadville, PA",PA
"Youngstown-Warren-Boardman, OH-PA","PA,OH"
"Oil City, PA",PA
"Warren, PA",PA
"Bradford, PA",PA
"Erie, PA",PA
"Altoona, PA",PA
"Huntingdon, PA",PA
"State College, PA",PA
"Lock Haven, PA",PA
"Sayre, PA",PA
"Lewistown, PA",PA
"Lebanon, PA",PA
"Harrisburg-Carlisle, PA",PA
"Sunbury, PA",PA
"York-Hanover, PA",PA
"Lancaster, PA",PA
"Chambersburg-Waynesboro, PA",PA
"Gettysburg, PA",PA
"Williamsport, PA",PA
"Selinsgrove, PA",PA
"Bloomsburg-Berwick, PA",PA
"Lewisburg, PA",PA
"Pottsville, PA",PA
"Reading, PA",PA
"East Stroudsburg, PA",PA
"Scranton--Wilkes-Barre--Hazleton, PA",PA
"Dover, DE",DE
"Salisbury, MD-DE","DE,MD"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","DC,VA,MD,WV"
"California-Lexington Park, MD",MD
"Baltimore-Columbia-Towson, MD",MD
"Cumberland, MD-WV","MD,WV"
"Easton, MD",MD
"Cambridge, MD",MD
"Hagerstown-Martinsburg, MD-WV","MD,WV"
"Winchester, VA-WV","VA,WV"
"Harrisonburg, VA",VA
"Staunton-Waynesboro, VA",VA
"Charlottesville, VA",VA
"Richmond, VA",VA
"Virginia Beach-Norfolk-Newport News, VA-NC","VA,NC"
"Roanoke, VA",VA
"Martinsville, VA",VA
"Blacksburg-Christiansburg-Radford, VA",VA
"Danville, VA",VA
"Lynchburg, VA",VA
"Kingsport-Bristol-Bristol, TN-VA","VA,TN"
"Big Stone Gap, VA",VA
"Bluefield, WV-VA","VA,WV"
"Charleston, WV",WV
"Beckley, WV",WV
"Huntington-Ashland, WV-KY-OH","WV,KY,OH"
,
"Point Pleasant, WV-OH","WV,OH"
"Wheeling, WV-OH","WV,OH"
"Weirton-Steubenville, WV-OH","WV,OH"
"Parkersburg-Vienna, WV",WV
"Elkins, WV",WV
"Clarksburg, WV",WV
"Morgantown, WV",WV
"Fairmont, WV",WV
"Winston-Salem, NC",NC
"Mount Airy, NC",NC
"Charlotte-Concord-Gastonia, NC-SC","NC,SC"
"Greensboro-High Point, NC",NC
"Durham-Chapel Hill, NC",NC
"Burlington, NC",NC
"Pinehurst-Southern Pines, NC",NC
"Sanford, NC",NC
"Fayetteville, NC",NC
"Raleigh, NC",NC
"Goldsboro, NC",NC
"Henderson, NC",NC
"Rocky Mount, NC",NC
"Washington, NC",NC
"Greenville, NC",NC
"Roanoke Rapids, NC",NC
"Wilson, NC",NC
"Elizabeth City, NC",NC
"Kill Devil Hills, NC",NC
"Albemarle, NC",NC
"Forest City, NC",NC
"Shelby, NC",NC
"Rockingham, NC",NC
"Lumberton, NC",NC
"Laurinburg, NC",NC
"Wilmington, NC",NC
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","NC,SC"
"Jacksonville, NC",NC
"Kinston, NC",NC
"New Bern, NC",NC
"Morehead City, NC",NC
"Hickory-Lenoir-Morganton, NC",NC
"Boone, NC",NC
"North Wilkesboro, NC",NC
"Asheville, NC",NC
"Cullowhee, NC",NC
"Brevard, NC",NC
"Marion, NC",NC
"Sumter, SC",SC
"Columbia, SC",SC
"Orangeburg, SC",SC
"Union, SC",SC
"Newberry, SC",SC
"Florence, SC",SC
"Augusta-Richmond County, GA-SC","SC,GA"
"Spartanburg, SC",SC
"Greenville-Anderson-Mauldin, SC",SC
"Gaffney, SC",SC
"Charleston-North Charleston, SC",SC
"Georgetown, SC",SC
"Bennettsville, SC",SC
"Seneca, SC",SC
"Greenwood, SC",SC
"Hilton Head Island-Bluffton-Beaufort, SC",SC
"Atlanta-Sandy Springs-Roswell, GA",GA
"Cedartown, GA",GA
"Rome, GA",GA
"Calhoun, GA",GA
"LaGrange, GA","GA,AL"
"Thomaston, GA",GA
"Vidalia, GA",GA
"Statesboro, GA",GA
"Dublin, GA",GA
"Gainesville, GA",GA
"Cornelia, GA",GA
"Jefferson, GA",GA
"Toccoa, GA",GA
"Athens-Clarke County, GA",GA
"Dalton, GA",GA
"Chattanooga, TN-GA","GA,TN"
"Summerville, GA",GA
"Warner Robins, GA",GA
"Cordele, GA",GA
"Macon-Bibb County, GA",GA
"Columbus, GA-AL","GA,AL"
"Milledgeville, GA",GA
"Hinesville, GA",GA
"Savannah, GA",GA
"Brunswick, GA",GA
"Waycross, GA",GA
"Douglas, GA",GA
"Jesup, GA",GA
"St. Marys, GA",GA
"Valdosta, GA",GA
"Thomasville, GA",GA
"Albany, GA",GA
"Americus, GA",GA
"Tifton, GA",GA
"Moultrie, GA",GA
"Fitzgerald, GA",GA
"Jacksonville, FL",FL
"Lake City, FL",FL
"Orlando-Kissimmee-Sanford, FL",FL
"Deltona-Daytona Beach-Ormond Beach, FL",FL
"Palatka, FL",FL
"Ocala, FL",FL
"The Villages, FL",FL
"Tallahassee, FL",FL
"Panama City, FL",FL
