zip,town_name,state,cbsa_code,county_code,county_name,sub_county_code,cbsa_name,cbsa_category,csa_title,cbsa_states
01001,Agawam,MA,44140.0,25013,Hampden,2501300840,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01002,Amherst,MA,44140.0,25015,Hampshire,2501501325,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01003,Amherst,MA,44140.0,25015,Hampshire,2501501325,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01005,Barre,MA,49340.0,25027,Worcester,2502703740,"Worcester, MA-CT",Metropolitan Statistical Area,"Boston-Worcester-Providence, MA-RI-NH-CT","MA,CT"
01007,Belchertown,MA,44140.0,25015,Hampshire,2501504825,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01008,Blandford,MA,44140.0,25013,Hampden,2501306085,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01010,Brimfield,MA,44140.0,25013,Hampden,2501308470,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01011,Chester,MA,44140.0,25013,Hampden,2501313485,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01012,Chesterfield,MA,44140.0,25015,Hampshire,2501513590,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01013,Chicopee,MA,44140.0,25013,Hampden,2501313660,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01020,Chicopee,MA,44140.0,25013,Hampden,2501313660,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01022,Chicopee,MA,44140.0,25013,Hampden,2501313660,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01026,Cummington,MA,44140.0,25015,Hampshire,2501516040,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01027,Easthampton,MA,44140.0,25015,Hampshire,2501519370,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01028,East Longmeadow,MA,44140.0,25013,Hampden,2501319645,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01030,Feeding Hills,MA,44140.0,25013,Hampden,2501300840,"Springfield, MA",Metropolitan Statistical Area,"Springfield-Greenfield Town, MA",MA
01031,Gilbertville,MA,49340.0,25027,Worcester,2502728740,"Worcester, MA-CT",Metropolitan Statistical Area,"Boston-Worcester-Providence, MA-RI-NH-CT","MA,CT"
