zip,county,usps_zip_pref_city,usps_zip_pref_state,tot_ratio
00683,72125,SAN GERMAN,PR,0.956300443540
00683,72079,SAN GERMAN,PR,0.000872536901
00683,72023,SAN GERMAN,PR,0.000799825493
00683,72097,SAN GERMAN,PR,0.000145422817
00683,72121,SAN GERMAN,PR,0.041881771250
00923,72127,SAN JUAN,PR,1.000000000000
01010,25013,BRIMFIELD,MA,0.977815699659
01010,25027,BRIMFIELD,MA,0.022184300341
01257,25003,SHEFFIELD,MA,1.000000000000
01267,25003,WILLIAMSTOWN,MA,1.000000000000
01331,25011,ATHOL,MA,0.001562721978
01331,25027,ATHOL,MA,0.998437278022
01339,25015,CHARLEMONT,MA,0.010714285714
01339,25011,CHARLEMONT,MA,0.989285714286
01469,25017,TOWNSEND,MA,1.000000000000
02027,25021,DEDHAM,MA,1.000000000000
02120,25025,ROXBURY CROSSING,MA,1.000000000000
02128,25025,EAST BOSTON,MA,1.000000000000
02199,25025,BOSTON,MA,1.000000000000
02361,25023,PLYMOUTH,MA,1.000000000000
02664,25001,SOUTH YARMOUTH,MA,1.000000000000
02668,25001,WEST BARNSTABLE,MA,1.000000000000
02648,25001,MARSTONS MILLS,MA,1.000000000000
02739,25023,MATTAPOISETT,MA,1.000000000000
02895,44007,WOONSOCKET,RI,1.000000000000
03281,33011,WEARE,NH,0.999230374551
03281,33013,WEARE,NH,0.000769625449
03743,33019,CLAREMONT,NH,1.000000000000
03592,33007,PITTSBURG,NH,1.000000000000
03605,33019,LEMPSTER,NH,1.000000000000
03886,33003,TAMWORTH,NH,1.000000000000
03884,33017,STRAFFORD,NH,0.998869417750
03884,33015,STRAFFORD,NH,0.001130582250
04357,23023,RICHMOND,ME,0.999473684211
04357,23011,RICHMOND,ME,0.000526315789
04649,23029,JONESPORT,ME,1.000000000000
04627,23009,DEER ISLE,ME,1.000000000000
04562,23023,PHIPPSBURG,ME,1.000000000000
04921,23027,BROOKS,ME,0.995294117647
04921,23019,BROOKS,ME,0.004705882353
04548,23023,GEORGETOWN,ME,1.000000000000
05038,50017,CHELSEA,VT,1.000000000000
05474,50013,NORTH HERO,VT,1.000000000000
05679,50017,WILLIAMSTOWN,VT,1.000000000000
05651,50023,EAST MONTPELIER,VT,1.000000000000
05763,50021,PITTSFORD,VT,1.000000000000
05738,50021,CUTTINGSVILLE,VT,1.000000000000
05874,50019,WESTFIELD,VT,1.000000000000
06042,09013,MANCHESTER,CT,0.000229165075
06042,09003,MANCHESTER,CT,0.999770834925
06052,09003,NEW BRITAIN,CT,1.000000000000
06010,09005,BRISTOL,CT,0.000096525097
06010,09003,BRISTOL,CT,0.999903474903
05905,50009,GUILDHALL,VT,1.000000000000
06060,09003,NORTH GRANBY,CT,1.000000000000
06078,09003,SUFFIELD,CT,1.000000000000
06108,09003,EAST HARTFORD,CT,1.000000000000
06468,09001,MONROE,CT,1.000000000000
06787,09005,THOMASTON,CT,1.000000000000
06880,09001,WESTPORT,CT,1.000000000000
06907,09001,STAMFORD,CT,1.000000000000
07010,34003,CLIFFSIDE PARK,NJ,1.000000000000
07110,34031,NUTLEY,NJ,0.003485034850
07110,34013,NUTLEY,NJ,0.996514965150
