id,title,last_updated
SFXRSA,S&P/Case-Shiller CA-San Francisco Home Price Index,7/26/2022 8:01
LXXRSA,S&P/Case-Shiller CA-Los Angeles Home Price Index,7/26/2022 8:02
SDXRSA,S&P/Case-Shiller CA-San Diego Home Price Index,7/26/2022 8:02
SEXRSA,S&P/Case-Shiller WA-Seattle Home Price Index,7/26/2022 8:01
NYXRSA,S&P/Case-Shiller NY-New York Home Price Index,7/26/2022 8:02
CHXRSA,S&P/Case-Shiller IL-Chicago Home Price Index,7/26/2022 8:02
PHXRSA,S&P/Case-Shiller AZ-Phoenix Home Price Index,7/26/2022 8:02
DNXRSA,S&P/Case-Shiller CO-Denver Home Price Index,7/26/2022 8:02
DAXRSA,S&P/Case-Shiller TX-Dallas Home Price Index,7/26/2022 8:02
MIXRSA,S&P/Case-Shiller FL-Miami Home Price Index,7/26/2022 8:02
BOXRSA,S&P/Case-Shiller MA-Boston Home Price Index,7/26/2022 8:02
ATXRSA,S&P/Case-Shiller GA-Atlanta Home Price Index,7/26/2022 8:02
WDXRSA,S&P/Case-Shiller DC-Washington Home Price Index,7/26/2022 8:01
TPXRSA,S&P/Case-Shiller FL-Tampa Home Price Index,7/26/2022 8:01
LVXRSA,S&P/Case-Shiller NV-Las Vegas Home Price Index,7/26/2022 8:02
MNXRSA,S&P/Case-Shiller MN-Minneapolis Home Price Index,7/26/2022 8:02
POXRSA,S&P/Case-Shiller OR-Portland Home Price Index,7/26/2022 8:02
CRXRSA,S&P/Case-Shiller NC-Charlotte Home Price Index,7/26/2022 8:02
DEXRSA,S&P/Case-Shiller MI-Detroit Home Price Index,7/26/2022 8:02
CEXRSA,S&P/Case-Shiller OH-Cleveland Home Price Index,7/26/2022 8:02
